Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2017 [YR2017]
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1107000:TRANSPORT,1107000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1107100:PURCHASE OF VEHICLES,1107100,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1107300:TRANSPORT SERVICES,1107300,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1108000:COMMUNICATION,1108000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1111000:RESTAURANTS AND HOTELS,1111000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1113000:NET PURCHASES ABROAD,1113000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,1300000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,1400000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1500000:GROSS CAPITAL FORMATION,1500000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1501000:GROSS FIXED CAPITAL FORMATION,1501000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1501100:MACHINERY AND EQUIPMENT,1501100,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1501200:CONSTRUCTION,1501200,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1501300:OTHER PRODUCTS,1501300,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1502000:CHANGES IN INVENTORIES,1502000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),1503000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1600000:BALANCE OF EXPORTS AND IMPORTS,1600000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9080000:ACTUAL HEALTH,9080000,..,..
